locus_tag	ftype	length_bp	gene	EC_number	COG	product
BCPCFBLM_00708	CDS	1062				hypothetical protein
BCPCFBLM_00709	CDS	759	djlA		COG1076	Co-chaperone protein DjlA
BCPCFBLM_00710	CDS	675	murU	2.7.7.99	COG1208	N-acetylmuramate alpha-1-phosphate uridylyltransferase
BCPCFBLM_00711	CDS	1017	amgK	2.7.1.221	COG3178	N-acetylmuramate/N-acetylglucosamine kinase
BCPCFBLM_00712	CDS	2802	lptD		COG1452	LPS-assembly protein LptD
BCPCFBLM_00713	CDS	1293	surA_1	5.2.1.8	COG0760	Chaperone SurA
BCPCFBLM_00714	CDS	987	pdxA	1.1.1.262	COG1995	4-hydroxythreonine-4-phosphate dehydrogenase
BCPCFBLM_00715	CDS	807	rsmA	2.1.1.182	COG0030	Ribosomal RNA small subunit methyltransferase A
BCPCFBLM_00716	CDS	381	apaG		COG2967	Protein ApaG
BCPCFBLM_00717	CDS	852	apaH_1	3.6.1.41	COG0639	Bis(5'-nucleosyl)-tetraphosphatase, symmetrical
BCPCFBLM_00718	CDS	333	glpE_1	2.8.1.1	COG0607	Thiosulfate sulfurtransferase GlpE
BCPCFBLM_00719	CDS	1923				hypothetical protein
BCPCFBLM_00720	CDS	1272				hypothetical protein
BCPCFBLM_00721	CDS	1554				hypothetical protein
BCPCFBLM_00722	CDS	507				hypothetical protein
BCPCFBLM_00723	CDS	1233	cca		COG0617	Multifunctional CCA protein
BCPCFBLM_00724	CDS	543				hypothetical protein
BCPCFBLM_00725	CDS	417	folB	4.1.2.25	COG1539	Dihydroneopterin aldolase
BCPCFBLM_00726	CDS	570	plsY	2.3.1.15	COG0344	putative glycerol-3-phosphate acyltransferase
BCPCFBLM_00727	CDS	1026	tsaD	2.3.1.234	COG0533	tRNA N6-adenosine threonylcarbamoyltransferase
BCPCFBLM_00728	CDS	216	rpsU		COG0828	30S ribosomal protein S21
BCPCFBLM_00729	CDS	450	yqeY		COG1610	putative protein YqeY
BCPCFBLM_00730	CDS	1995	dnaG	2.7.7.-	COG0358	DNA primase
BCPCFBLM_00731	CDS	1854	rpoD		COG0568	RNA polymerase sigma factor RpoD
BCPCFBLM_00732	CDS	3738				hypothetical protein
BCPCFBLM_00733	CDS	1686				hypothetical protein
BCPCFBLM_00734	tRNA	77				tRNA-Met(cat)
BCPCFBLM_00735	CDS	162				hypothetical protein
BCPCFBLM_00736	CDS	1122				hypothetical protein
BCPCFBLM_00737	CDS	336				hypothetical protein
BCPCFBLM_00738	CDS	2727	impA	3.4.24.-		Immunomodulating metalloprotease
BCPCFBLM_00739	CDS	615				hypothetical protein
BCPCFBLM_00740	CDS	348				hypothetical protein
BCPCFBLM_00741	CDS	471				hypothetical protein
BCPCFBLM_00742	CDS	459				hypothetical protein
BCPCFBLM_00743	CDS	159				hypothetical protein
BCPCFBLM_00744	CDS	516				hypothetical protein
BCPCFBLM_00745	CDS	339				hypothetical protein
BCPCFBLM_00746	CDS	912	mtrA_1			HTH-type transcriptional regulator MtrA
BCPCFBLM_00747	CDS	354	yhaI		COG3152	Inner membrane protein YhaI
BCPCFBLM_00748	CDS	696	yieH	3.1.3.-	COG0637	6-phosphogluconate phosphatase
BCPCFBLM_00749	CDS	489	ygjP	3.6.1.-	COG1451	UTP pyrophosphatase
BCPCFBLM_00750	CDS	1179			COG2081	putative protein
BCPCFBLM_00751	CDS	768		2.1.1.-	COG0500	putative methyltransferase
BCPCFBLM_00752	CDS	426				hypothetical protein
BCPCFBLM_00753	CDS	483				hypothetical protein
BCPCFBLM_00754	CDS	1065	cbbA	4.1.2.13		Fructose-bisphosphate aldolase
BCPCFBLM_00755	CDS	342				hypothetical protein
BCPCFBLM_00756	CDS	201				hypothetical protein
BCPCFBLM_00757	CDS	1164	pgk	2.7.2.3	COG0126	Phosphoglycerate kinase
BCPCFBLM_00758	CDS	1062	epd_1	1.2.1.72	COG0057	D-erythrose-4-phosphate dehydrogenase
BCPCFBLM_00759	CDS	798	otnI	5.3.1.35	COG3622	2-oxo-tetronate isomerase
BCPCFBLM_00760	CDS	1065				hypothetical protein
BCPCFBLM_00761	CDS	1998	tktA	2.2.1.1	COG0021	Transketolase 1
BCPCFBLM_00762	CDS	1002	COQ3_1	2.1.1.222		Ubiquinone biosynthesis O-methyltransferase, mitochondrial
BCPCFBLM_00763	CDS	1191	metK	2.5.1.6	COG0192	S-adenosylmethionine synthase
BCPCFBLM_00764	CDS	1305		1.14.13.239		Carnitine monooxygenase reductase subunit
BCPCFBLM_00765	CDS	744				hypothetical protein
BCPCFBLM_00766	CDS	969				hypothetical protein
BCPCFBLM_00767	CDS	420	yqjC			Protein YqjC
BCPCFBLM_00768	CDS	459				hypothetical protein
BCPCFBLM_00769	CDS	387				hypothetical protein
BCPCFBLM_00770	CDS	831				hypothetical protein
BCPCFBLM_00771	CDS	582	dsbB_2			Disulfide bond formation protein B
BCPCFBLM_00772	CDS	609	lemA_1		COG1704	Protein LemA
BCPCFBLM_00773	CDS	1026				hypothetical protein
BCPCFBLM_00774	CDS	555				hypothetical protein
BCPCFBLM_00775	CDS	1290	puuB_1	1.4.3.-		Gamma-glutamylputrescine oxidoreductase
BCPCFBLM_00776	CDS	1491	malT_1			HTH-type transcriptional regulator MalT
BCPCFBLM_00777	CDS	264				hypothetical protein
BCPCFBLM_00778	CDS	717				hypothetical protein
BCPCFBLM_00779	CDS	1182	argD	2.6.1.11	COG4992	Acetylornithine aminotransferase
BCPCFBLM_00780	CDS	237				hypothetical protein
BCPCFBLM_00781	CDS	702	yiiM_1		COG2258	Protein YiiM
BCPCFBLM_00782	CDS	879	cynR_1			HTH-type transcriptional regulator CynR
BCPCFBLM_00783	CDS	684	glxR_1		COG0664	CRP-like cAMP-activated global transcriptional regulator
BCPCFBLM_00784	CDS	195				hypothetical protein
BCPCFBLM_00785	CDS	1839				hypothetical protein
BCPCFBLM_00786	CDS	1398	norB	1.7.2.5	COG3256	Nitric oxide reductase subunit B
BCPCFBLM_00787	CDS	441	norC		COG2010	Nitric oxide reductase subunit C
BCPCFBLM_00788	CDS	258				hypothetical protein
BCPCFBLM_00789	CDS	573	qoxC	1.10.3.-		Quinol oxidase subunit 3
BCPCFBLM_00790	CDS	783	nirQ		COG0714	Denitrification regulatory protein NirQ
BCPCFBLM_00791	CDS	1707	nirS_1	1.7.2.1	COG2010	Nitrite reductase
BCPCFBLM_00792	CDS	315	nirM		COG4654	Cytochrome c-551
BCPCFBLM_00793	CDS	360				hypothetical protein
BCPCFBLM_00794	CDS	1179				hypothetical protein
BCPCFBLM_00795	CDS	453				hypothetical protein
BCPCFBLM_00796	CDS	525				hypothetical protein
BCPCFBLM_00797	CDS	444				hypothetical protein
BCPCFBLM_00798	CDS	516				hypothetical protein
BCPCFBLM_00799	CDS	1164	mftC	2.-.-.-	COG0535	Putative mycofactocin radical SAM maturase MftC
BCPCFBLM_00800	CDS	840	cysG_1		COG0007	Siroheme synthase
BCPCFBLM_00801	CDS	1482	nirS_2	1.7.2.1	COG2010	Nitrite reductase
BCPCFBLM_00802	CDS	1779	dmdC_3	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
BCPCFBLM_00803	CDS	1797	dmdC_4	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
BCPCFBLM_00804	CDS	1806	dmdC_5	1.3.8.-	COG1960	3-methylmercaptopropionyl-CoA dehydrogenase
BCPCFBLM_00805	CDS	231				hypothetical protein
BCPCFBLM_00806	CDS	687	bioD1	6.3.3.3	COG0132	ATP-dependent dethiobiotin synthetase BioD 1
BCPCFBLM_00807	CDS	825	bioC	2.1.1.197		Malonyl-[acyl-carrier protein] O-methyltransferase
BCPCFBLM_00808	CDS	723	bioH	3.1.1.85		Pimeloyl-[acyl-carrier protein] methyl ester esterase
BCPCFBLM_00809	CDS	1206	bioF	2.3.1.47	COG0156	8-amino-7-oxononanoate synthase
BCPCFBLM_00810	CDS	1059	bioB	2.8.1.6	COG0502	Biotin synthase
BCPCFBLM_00811	CDS	210				hypothetical protein
BCPCFBLM_00812	CDS	978	pxpC_1	3.5.2.9	COG1984	5-oxoprolinase subunit C
BCPCFBLM_00813	CDS	879	pxpB_1	3.5.2.9	COG2049	5-oxoprolinase subunit B
BCPCFBLM_00814	CDS	1377	accC_2	6.3.4.14	COG0439	Biotin carboxylase
BCPCFBLM_00815	CDS	249	accB_2		COG0511	Biotin carboxyl carrier protein of acetyl-CoA carboxylase
BCPCFBLM_00816	CDS	759	pxpA	3.5.2.9	COG1540	5-oxoprolinase subunit A
BCPCFBLM_00817	CDS	918	oxyR_1			Hydrogen peroxide-inducible genes activator
BCPCFBLM_00818	CDS	294				hypothetical protein
BCPCFBLM_00819	CDS	726				hypothetical protein
BCPCFBLM_00820	CDS	321				hypothetical protein
BCPCFBLM_00821	CDS	759	modE		COG2005	DNA-binding transcriptional dual regulator ModE
BCPCFBLM_00822	CDS	975	rdoA	2.7.11.1	COG2334	Serine/threonine protein kinase RdoA
BCPCFBLM_00823	CDS	897	rarD_1		COG2962	Protein RarD
BCPCFBLM_00824	CDS	516				hypothetical protein
BCPCFBLM_00825	CDS	444				hypothetical protein
BCPCFBLM_00826	CDS	2178	glcB	2.3.3.9	COG2225	Malate synthase G
BCPCFBLM_00827	CDS	444				hypothetical protein
BCPCFBLM_00828	CDS	798	catD_2	3.1.1.24	COG0596	3-oxoadipate enol-lactonase 2
BCPCFBLM_00829	CDS	939	yhaJ_2			HTH-type transcriptional regulator YhaJ
BCPCFBLM_00830	CDS	477				hypothetical protein
BCPCFBLM_00831	CDS	927	pcpR_2			PCP degradation transcriptional activation protein
BCPCFBLM_00832	CDS	1728	pucI_2		COG1953	putative allantoin permease
BCPCFBLM_00833	CDS	570	yxaF_1			putative HTH-type transcriptional regulator YxaF
BCPCFBLM_00834	CDS	402				hypothetical protein
BCPCFBLM_00835	CDS	750				hypothetical protein
BCPCFBLM_00836	CDS	519	fecI_2		COG1595	putative RNA polymerase sigma factor FecI
BCPCFBLM_00837	CDS	972	fecR_2		COG3712	Protein FecR
BCPCFBLM_00838	CDS	2415	fhuA_1		COG1629	Ferrichrome outer membrane transporter/phage receptor
BCPCFBLM_00839	CDS	858				hypothetical protein
BCPCFBLM_00840	CDS	951	vgb	4.2.99.-		Virginiamycin B lyase
BCPCFBLM_00841	CDS	621	yibF		COG0625	putative GST-like protein YibF
BCPCFBLM_00842	CDS	186				hypothetical protein
BCPCFBLM_00843	CDS	303				hypothetical protein
BCPCFBLM_00844	CDS	1359	creD		COG4452	Inner membrane protein CreD
BCPCFBLM_00845	CDS	1425	creC	2.7.13.3	COG0642	Sensor protein CreC
BCPCFBLM_00846	CDS	690	creB		COG0745	Transcriptional regulatory protein CreB
BCPCFBLM_00847	CDS	510				hypothetical protein
BCPCFBLM_00848	CDS	888	yihG_1	2.3.-.-	COG0204	putative acyltransferase YihG
BCPCFBLM_00849	CDS	579				hypothetical protein
BCPCFBLM_00850	CDS	2799	clpC		COG0542	Negative regulator of genetic competence ClpC/MecB
BCPCFBLM_00851	CDS	1434	hsrA			putative transport protein HsrA
BCPCFBLM_00852	CDS	525				hypothetical protein
BCPCFBLM_00853	CDS	210	cspA_1		COG1278	Major cold shock protein CspA
BCPCFBLM_00854	CDS	1377	dbpA	3.6.4.13	COG0513	ATP-dependent RNA helicase DbpA
BCPCFBLM_00855	CDS	2202	yccS		COG1289	Inner membrane protein YccS
BCPCFBLM_00856	CDS	732				hypothetical protein
BCPCFBLM_00857	CDS	792				hypothetical protein
BCPCFBLM_00858	CDS	1332				hypothetical protein
BCPCFBLM_00859	CDS	1623	pitA_2		COG0306	Low-affinity inorganic phosphate transporter 1
BCPCFBLM_00860	CDS	405				hypothetical protein
BCPCFBLM_00861	CDS	909	gcvA_2			Glycine cleavage system transcriptional activator
BCPCFBLM_00862	CDS	1182	mmgC_1	1.3.99.-	COG1960	Acyl-CoA dehydrogenase
BCPCFBLM_00863	CDS	1224	yfdE_1	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
BCPCFBLM_00864	CDS	1284	hyuC	3.5.1.87	COG0624	N-carbamoyl-L-amino-acid hydrolase
BCPCFBLM_00865	CDS	1491	pucI_3		COG1953	putative allantoin permease
BCPCFBLM_00866	CDS	1440	dht	3.5.2.2	COG0044	D-hydantoinase/dihydropyrimidinase
BCPCFBLM_00867	CDS	1368	gltD_2	1.4.1.13	COG0493	Glutamate synthase [NADPH] small chain
BCPCFBLM_00868	CDS	1275	preA	1.3.1.1	COG0167	NAD-dependent dihydropyrimidine dehydrogenase subunit PreA
BCPCFBLM_00869	CDS	1251	codB		COG1457	Cytosine permease
BCPCFBLM_00870	CDS	1272	codA	3.5.4.1	COG0402	Cytosine deaminase
BCPCFBLM_00871	CDS	621	rutR_1		COG1309	HTH-type transcriptional regulator RutR
BCPCFBLM_00872	CDS	1479				hypothetical protein
BCPCFBLM_00873	CDS	2193	cntO_2			Metal-pseudopaline receptor CntO
BCPCFBLM_00874	CDS	417				hypothetical protein
BCPCFBLM_00875	CDS	1410	ahcY	3.3.1.1	COG0499	Adenosylhomocysteinase
BCPCFBLM_00876	CDS	540				hypothetical protein
BCPCFBLM_00877	CDS	873	metF	1.5.1.20	COG0685	5,10-methylenetetrahydrofolate reductase
BCPCFBLM_00878	CDS	1071				hypothetical protein
BCPCFBLM_00879	CDS	1920	rhlE_1	3.6.4.13		ATP-dependent RNA helicase RhlE
BCPCFBLM_00880	CDS	1458	oprM_2		COG1538	Outer membrane protein OprM
BCPCFBLM_00881	CDS	3141	mexB_1		COG0841	Multidrug resistance protein MexB
BCPCFBLM_00882	CDS	1152	mexA_1			Multidrug resistance protein MexA
BCPCFBLM_00883	CDS	345	mexR		COG1846	Multidrug resistance operon repressor
BCPCFBLM_00884	CDS	576	yceI		COG2353	Protein YceI
BCPCFBLM_00885	CDS	570	yceJ		COG3038	Cytochrome b561 
BCPCFBLM_00886	CDS	1491		1.4.5.-		L-amino acid dehydrogenase
BCPCFBLM_00887	CDS	1404	bioA	2.6.1.62		Adenosylmethionine-8-amino-7-oxononanoate aminotransferase
BCPCFBLM_00888	CDS	723	rsmE	2.1.1.193	COG1385	Ribosomal RNA small subunit methyltransferase E
BCPCFBLM_00889	CDS	1374				hypothetical protein
BCPCFBLM_00890	CDS	612				hypothetical protein
BCPCFBLM_00891	CDS	795	rhaS_1			HTH-type transcriptional activator RhaS
BCPCFBLM_00892	CDS	507				hypothetical protein
BCPCFBLM_00893	CDS	1032	cheB_2	3.5.1.44		Protein-glutamate methylesterase/protein-glutamine glutaminase
BCPCFBLM_00894	CDS	7431	rcsC_3	2.7.13.3		Sensor histidine kinase RcsC
BCPCFBLM_00895	CDS	876	cheR2	2.1.1.80		Chemotaxis protein methyltransferase Cher2
BCPCFBLM_00896	CDS	2049				hypothetical protein
BCPCFBLM_00897	CDS	537				hypothetical protein
BCPCFBLM_00898	CDS	366	pleD_1			Response regulator PleD
BCPCFBLM_00899	CDS	429	phoP_1		COG0745	Alkaline phosphatase synthesis transcriptional regulatory protein PhoP
BCPCFBLM_00900	CDS	954	gshB	6.3.2.3	COG0189	Glutathione synthetase
BCPCFBLM_00901	CDS	894				hypothetical protein
BCPCFBLM_00902	CDS	570				hypothetical protein
BCPCFBLM_00903	CDS	435	yqgF	3.1.-.-	COG0816	Putative pre-16S rRNA nuclease
BCPCFBLM_00904	CDS	513	pyrR		COG2065	Bifunctional protein PyrR
BCPCFBLM_00905	CDS	1005	pyrB	2.1.3.2		Aspartate carbamoyltransferase
BCPCFBLM_00906	CDS	1272	pyrC'		COG0044	Dihydroorotase-like protein
BCPCFBLM_00907	CDS	1185	metC	4.4.1.13	COG0626	Cystathionine beta-lyase
BCPCFBLM_00908	CDS	1374	cbs	4.2.1.22	COG0031	Putative cystathionine beta-synthase
BCPCFBLM_00909	CDS	405				hypothetical protein
BCPCFBLM_00910	CDS	900	czcD_1			Metal cation efflux system protein CzcD
BCPCFBLM_00911	CDS	1149	pilT_1		COG2805	Twitching mobility protein
BCPCFBLM_00912	CDS	1035	pilT_2		COG2805	Twitching mobility protein
BCPCFBLM_00913	CDS	693	yggS		COG0325	Pyridoxal phosphate homeostasis protein
BCPCFBLM_00914	CDS	822	proC	1.5.1.2	COG0345	Pyrroline-5-carboxylate reductase
BCPCFBLM_00915	CDS	594				hypothetical protein
BCPCFBLM_00916	CDS	171				hypothetical protein
BCPCFBLM_00917	CDS	1968				hypothetical protein
BCPCFBLM_00918	CDS	1140	metXS	2.3.1.46	COG2021	Homoserine O-succinyltransferase
BCPCFBLM_00919	CDS	621	metXA		COG0500	Bifunctional methionine biosynthesis protein MetXA/MetW
BCPCFBLM_00920	CDS	420				hypothetical protein
BCPCFBLM_00921	CDS	594	rdgB	3.6.1.66	COG0127	dITP/XTP pyrophosphatase
BCPCFBLM_00922	CDS	1155	hemW		COG0635	Heme chaperone HemW
BCPCFBLM_00923	CDS	324				hypothetical protein
BCPCFBLM_00924	CDS	258				hypothetical protein
BCPCFBLM_00925	CDS	1347				putative protein
BCPCFBLM_00926	CDS	735	trmB	2.1.1.33	COG0220	tRNA (guanine-N(7)-)-methyltransferase
BCPCFBLM_00927	CDS	798	thiG	2.8.1.10	COG2022	Thiazole synthase
BCPCFBLM_00928	CDS	201				hypothetical protein
BCPCFBLM_00929	CDS	378				hypothetical protein
BCPCFBLM_00930	CDS	732	mtgA	2.4.1.129	COG0744	Biosynthetic peptidoglycan transglycosylase
BCPCFBLM_00931	CDS	606				hypothetical protein
BCPCFBLM_00932	CDS	855	rpoH		COG0568	RNA polymerase sigma factor RpoH
BCPCFBLM_00933	CDS	1008	ftsX		COG2177	Cell division protein FtsX
BCPCFBLM_00934	CDS	672	ftsE		COG2884	Cell division ATP-binding protein FtsE
BCPCFBLM_00935	CDS	1374	ftsY			Signal recognition particle receptor FtsY
BCPCFBLM_00936	CDS	1371		3.4.24.-	COG0612	putative zinc protease
BCPCFBLM_00937	CDS	1488				hypothetical protein
BCPCFBLM_00938	CDS	597	rsmD	2.1.1.171	COG0742	Ribosomal RNA small subunit methyltransferase D
BCPCFBLM_00939	CDS	567				hypothetical protein
BCPCFBLM_00940	CDS	999				hypothetical protein
BCPCFBLM_00941	CDS	411				hypothetical protein
BCPCFBLM_00942	CDS	648				hypothetical protein
BCPCFBLM_00943	CDS	1431	calB	1.2.1.68		Coniferyl aldehyde dehydrogenase
BCPCFBLM_00944	CDS	549				hypothetical protein
BCPCFBLM_00945	CDS	1596		1.1.-.-	COG2303	putative GMC-type oxidoreductase
BCPCFBLM_00946	CDS	480	coaD	2.7.7.3	COG0669	Phosphopantetheine adenylyltransferase
BCPCFBLM_00947	CDS	252	fdx_1		COG1145	Ferredoxin
BCPCFBLM_00948	CDS	1734	ggt_1	3.4.19.13		Glutathione hydrolase proenzyme
BCPCFBLM_00949	CDS	432				hypothetical protein
BCPCFBLM_00950	CDS	987				hypothetical protein
BCPCFBLM_00951	CDS	345				hypothetical protein
BCPCFBLM_00952	CDS	579				hypothetical protein
BCPCFBLM_00953	CDS	813	mutM	3.2.2.23	COG0266	Formamidopyrimidine-DNA glycosylase
BCPCFBLM_00954	CDS	879				hypothetical protein
BCPCFBLM_00955	CDS	540	yraA	3.2.-.-	COG0693	Putative cysteine protease YraA
BCPCFBLM_00956	CDS	1197	rlmI	2.1.1.191	COG1092	Ribosomal RNA large subunit methyltransferase I
BCPCFBLM_00957	CDS	1839	ilvD	4.2.1.9	COG0129	Dihydroxy-acid dehydratase
BCPCFBLM_00958	CDS	1386	xanP_1		COG2233	Xanthine permease XanP
BCPCFBLM_00959	CDS	474				hypothetical protein
BCPCFBLM_00960	CDS	507	dhfrIII	1.5.1.3		Dihydrofolate reductase type 3
BCPCFBLM_00961	CDS	1041				hypothetical protein
BCPCFBLM_00962	CDS	1095				hypothetical protein
BCPCFBLM_00963	CDS	1152	glpQ_1	3.1.4.46	COG0584	Glycerophosphodiester phosphodiesterase, periplasmic
BCPCFBLM_00964	CDS	363				hypothetical protein
BCPCFBLM_00965	CDS	1386				putative membrane protein
BCPCFBLM_00966	CDS	1380				hypothetical protein
BCPCFBLM_00967	CDS	798				hypothetical protein
BCPCFBLM_00968	CDS	795	thyA	2.1.1.45	COG0207	Thymidylate synthase
BCPCFBLM_00969	CDS	801	lgt	2.5.1.145	COG0682	Phosphatidylglycerol--prolipoprotein diacylglyceryl transferase
BCPCFBLM_00970	CDS	804				hypothetical protein
BCPCFBLM_00971	CDS	756				hypothetical protein
BCPCFBLM_00972	CDS	1038				hypothetical protein
BCPCFBLM_00973	CDS	2280	ptsP	2.7.3.9	COG3605	Phosphoenolpyruvate-dependent phosphotransferase system
BCPCFBLM_00974	CDS	480	rppH	3.6.1.-	COG0494	RNA pyrophosphohydrolase
BCPCFBLM_00975	CDS	654		3.1.3.-	COG0560	putative phosphatase
BCPCFBLM_00976	CDS	1242				hypothetical protein
BCPCFBLM_00977	CDS	468				hypothetical protein
BCPCFBLM_00978	CDS	1272				hypothetical protein
BCPCFBLM_00979	CDS	468				hypothetical protein
BCPCFBLM_00980	CDS	1515	ilvA_1	4.3.1.19	COG1171	L-threonine dehydratase biosynthetic IlvA
BCPCFBLM_00981	CDS	672	rpiA	5.3.1.6	COG0120	Ribose-5-phosphate isomerase A
BCPCFBLM_00982	CDS	333				hypothetical protein
BCPCFBLM_00983	CDS	726	dapH_1	2.3.1.89		2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase
BCPCFBLM_00984	CDS	1977				hypothetical protein
BCPCFBLM_00985	CDS	930	yjiK_1		COG3204	putative protein YjiK
BCPCFBLM_00986	CDS	1050	potA_2	7.6.2.11		Spermidine/putrescine import ATP-binding protein PotA
BCPCFBLM_00987	CDS	930	potB		COG1176	Spermidine/putrescine transport system permease protein PotB
BCPCFBLM_00988	CDS	789	ydcV_2			Inner membrane ABC transporter permease protein YdcV
BCPCFBLM_00989	CDS	1044	spuE_1		COG0687	Spermidine-binding periplasmic protein SpuE
BCPCFBLM_00990	CDS	1395	puuP_1		COG0531	Putrescine importer PuuP
BCPCFBLM_00991	CDS	1035	aphB	3.5.1.-	COG0123	Acetylpolyamine amidohydrolase 2
BCPCFBLM_00992	CDS	351	ygiW		COG3111	Protein YgiW
BCPCFBLM_00993	CDS	933	yjiK_2		COG3204	putative protein YjiK
BCPCFBLM_00994	CDS	666	ycgM		COG0179	putative protein YcgM
BCPCFBLM_00995	CDS	1395		1.-.-.-	COG0277	putative FAD-linked oxidoreductase
BCPCFBLM_00996	CDS	1230	serA	1.1.1.95	COG0111	D-3-phosphoglycerate dehydrogenase
BCPCFBLM_00997	CDS	438				hypothetical protein
BCPCFBLM_00998	CDS	771	fliY_2		COG0834	L-cystine-binding protein FliY
BCPCFBLM_00999	CDS	693	yecS_1		COG0765	L-cystine transport system permease protein YecS
BCPCFBLM_01000	CDS	495				hypothetical protein
BCPCFBLM_01001	CDS	90				hypothetical protein
BCPCFBLM_01002	CDS	555				hypothetical protein
BCPCFBLM_01003	CDS	630				hypothetical protein
BCPCFBLM_01004	CDS	753				hypothetical protein
BCPCFBLM_01005	CDS	942	menH_1	4.2.99.20		2-succinyl-6-hydroxy-2,4-cyclohexadiene-1-carboxylate synthase
BCPCFBLM_01006	CDS	612				hypothetical protein
BCPCFBLM_01007	CDS	504				hypothetical protein
BCPCFBLM_01008	CDS	1053				hypothetical protein
BCPCFBLM_01009	CDS	2388	quiP_1	3.5.1.97	COG2366	Acyl-homoserine lactone acylase QuiP
BCPCFBLM_01010	CDS	870	ydcV_3			Inner membrane ABC transporter permease protein YdcV
BCPCFBLM_01011	CDS	912	potH		COG1176	Putrescine transport system permease protein PotH
BCPCFBLM_01012	CDS	1155	potA_3	7.6.2.11	COG3842	Spermidine/putrescine import ATP-binding protein PotA
BCPCFBLM_01013	CDS	1098	spuE_2		COG0687	Spermidine-binding periplasmic protein SpuE
BCPCFBLM_01014	CDS	1104	spuD_1		COG0687	Putrescine-binding periplasmic protein SpuD
BCPCFBLM_01015	CDS	1371	spuC_2	2.6.1.113	COG0161	Putrescine--pyruvate aminotransferase
BCPCFBLM_01016	CDS	1359	puuA_1	6.3.1.11	COG0174	Gamma-glutamylputrescine synthetase PuuA
BCPCFBLM_01017	CDS	753	puuD	3.5.1.94	COG2071	Gamma-glutamyl-gamma-aminobutyrate hydrolase PuuD
BCPCFBLM_01018	CDS	222				hypothetical protein
BCPCFBLM_01019	CDS	93				hypothetical protein
BCPCFBLM_01020	CDS	252				hypothetical protein
BCPCFBLM_01021	CDS	219				hypothetical protein
BCPCFBLM_01022	CDS	1188				hypothetical protein
BCPCFBLM_01023	CDS	351				hypothetical protein
BCPCFBLM_01024	CDS	1263				hypothetical protein
BCPCFBLM_01025	CDS	111				hypothetical protein
BCPCFBLM_01026	CDS	1299				hypothetical protein
BCPCFBLM_01027	CDS	1017	xerC_1			Tyrosine recombinase XerC
BCPCFBLM_01028	CDS	825	ttcA	2.8.1.-	COG0037	tRNA-cytidine(32) 2-sulfurtransferase
BCPCFBLM_01029	CDS	672				hypothetical protein
BCPCFBLM_01030	CDS	1419	ydgI		COG0531	Putative arginine/ornithine antiporter
BCPCFBLM_01031	CDS	765		3.5.3.18	COG1834	N(G),N(G)-dimethylarginine dimethylaminohydrolase
BCPCFBLM_01032	CDS	1401	rocR		COG3829	Arginine utilization regulatory protein RocR
BCPCFBLM_01033	CDS	771	cobB_1	2.3.1.286		NAD-dependent protein deacetylase
BCPCFBLM_01034	CDS	612				hypothetical protein
BCPCFBLM_01035	CDS	534				hypothetical protein
BCPCFBLM_01036	CDS	663	trmR_1	2.1.1.-		tRNA 5-hydroxyuridine methyltransferase
BCPCFBLM_01037	CDS	915	dmlR_1			HTH-type transcriptional regulator DmlR
BCPCFBLM_01038	CDS	618	ycaC_1	4.-.-.-	COG1335	putative hydrolase YcaC
BCPCFBLM_01039	CDS	408				hypothetical protein
BCPCFBLM_01040	CDS	558		1.-.-.-	COG0431	NAD(P)H-dependent FMN reductase
BCPCFBLM_01041	CDS	948				hypothetical protein
BCPCFBLM_01042	CDS	474				hypothetical protein
BCPCFBLM_01043	CDS	1842	kefC		COG0475	Glutathione-regulated potassium-efflux system protein KefC
BCPCFBLM_01044	CDS	1500	ethA	1.14.13.-	COG2072	FAD-containing monooxygenase EthA
BCPCFBLM_01045	CDS	936				hypothetical protein
BCPCFBLM_01046	CDS	699	yhhW	1.13.11.24	COG1741	Quercetin 2,3-dioxygenase
BCPCFBLM_01047	CDS	636				hypothetical protein
BCPCFBLM_01048	CDS	1230	mdrP			Na(+), Li(+), K(+)/H(+) antiporter
BCPCFBLM_01049	CDS	960				hypothetical protein
BCPCFBLM_01050	CDS	1599				hypothetical protein
BCPCFBLM_01051	CDS	1479	menE	6.2.1.26		2-succinylbenzoate--CoA ligase
BCPCFBLM_01052	CDS	747	tam_2	2.1.1.144		Trans-aconitate 2-methyltransferase
BCPCFBLM_01053	CDS	1368		2.3.3.14		Homocitrate synthase
BCPCFBLM_01054	CDS	879				hypothetical protein
BCPCFBLM_01055	CDS	615				hypothetical protein
BCPCFBLM_01056	CDS	1263				hypothetical protein
BCPCFBLM_01057	CDS	1821	lgrB_1			Linear gramicidin synthase subunit B
BCPCFBLM_01058	CDS	702				hypothetical protein
BCPCFBLM_01059	CDS	1158	mltA	4.2.2.-	COG2821	Membrane-bound lytic murein transglycosylase A
BCPCFBLM_01060	CDS	888	gcvA_3			Glycine cleavage system transcriptional activator
BCPCFBLM_01061	CDS	1041	aguA_1	3.5.3.12	COG2957	Putative agmatine deiminase
BCPCFBLM_01062	CDS	912		3.5.1.77		N-carbamoyl-D-amino acid hydrolase
